iter	Passed	Remaining
678	15102	467
679	15130	445
680	15156	422
681	15194	401
682	15224	378
683	15248	356
684	15266	334
685	15288	312
686	15306	289
687	15329	267
688	15347	245
689	15368	222
690	15387	200
691	15419	178
692	15439	155
693	15461	133
694	15481	111
695	15501	89
696	15520	66
697	15541	44
698	15566	22
699	15587	0
